Data transakcji;Klient;Kwota
2023-11-05;1;35.6
2023-11-05;2;89
2023-11-05;3;378.25
2023-11-05;4;75.65
2023-11-05;5;75.65
2023-11-05;6;801
2023-11-05;7;75.65
2023-11-05;2;356.31
2023-11-05;8;75.65
2023-11-05;9;756.5
2023-11-05;10;75.65
2023-11-05;11;75.65
2023-11-05;12;89
2023-11-06;13;89
2023-11-06;14;75.65
2023-11-06;15;890
2023-11-06;16;756.5
2023-11-06;17;75.65
2023-11-06;18;890
2023-11-06;19;80.1
2023-11-06;20;712
2023-11-06;21;89
2023-11-06;22;89
2023-11-06;23;378.25
2023-11-06;24;75.65
2023-11-06;25;890
2023-11-06;26;890
2023-11-06;27;89
2023-11-06;28;75.65
2023-11-06;29;80.1
2023-11-06;30;756.5
2023-11-06;31;89
2023-11-06;32;89
2023-11-06;33;356
2023-11-06;34;71.2
2023-11-06;35;801
2023-11-06;36;89
2023-11-06;37;89
2023-11-06;38;89
2023-11-06;39;89
2023-11-06;40;756.5
2023-11-06;41;99
2023-11-06;42;990
2023-11-06;43;445
2023-11-07;44;990
2023-11-07;45;89
2023-11-07;46;84.15
2023-11-07;47;99
2023-11-08;48;99
2023-11-08;49;99
2023-11-09;50;99
2023-11-12;51;990
2023-11-13;52;87.12
2023-11-13;53;87.12
2023-11-14;54;871.2
2023-11-18;55;79.2
2023-11-24;56;69
2023-11-24;57;690
2023-11-24;58;690
2023-11-24;59;276
2023-11-25;60;69
2023-11-25;61;607.2
2023-11-25;62;55.2
2023-11-25;63;690
2023-11-25;64;69
2023-11-26;65;690
2023-11-26;66;69
2023-11-26;67;69
2023-11-26;68;276
2023-11-26;69;69
2023-11-26;70;69
2023-11-26;71;276
2023-11-27;72;690
2023-11-27;48;308.6
2023-11-27;73;55.2
2023-11-27;74;69
2023-11-27;75;345
2023-11-27;76;69
2023-11-27;77;690
2023-11-27;78;69
2023-11-27;79;69
2023-11-27;80;690
2023-11-27;81;69
2023-11-27;82;69
2023-11-28;83;79.2
2023-12-02;84;495
2023-12-05;4;75.65
2023-12-05;5;75.65
2023-12-05;7;75.65
2023-12-05;8;75.65
2023-12-05;10;75.65
2023-12-05;11;75.65
2023-12-05;12;89
2023-12-06;85;891
2023-12-06;13;89
2023-12-06;17;75.65
2023-12-06;24;75.65
2023-12-06;27;89
2023-12-06;28;75.65
2023-12-06;29;80.1
2023-12-06;31;89
2023-12-06;32;89
2023-12-06;34;71.2
2023-12-06;36;89
2023-12-06;37;89
2023-12-06;38;89
2023-12-06;39;89
2023-12-06;41;99
2023-12-07;47;99
2023-12-08;49;99
2023-12-08;86;79.2
2023-12-12;87;990
2023-12-13;53;87.12
2023-12-17;88;79.2
2023-12-17;89;99
2023-12-18;55;79.2
2023-12-22;90;99
2023-12-24;56;69
2023-12-25;60;69
2023-12-25;62;55.2
2023-12-25;64;69
2023-12-26;66;69
2023-12-26;67;69
2023-12-26;69;69
2023-12-26;70;69
2023-12-27;73;55.2
2023-12-27;76;69
2023-12-27;78;69
2023-12-27;79;69
2023-12-27;81;69
2023-12-27;82;69
2023-12-29;91;990
2024-01-01;92;99
2024-01-02;93;89
2024-01-03;94;890
2024-01-03;95;890
2024-01-03;96;89
2024-01-04;97;89
2024-01-04;98;445
2024-01-05;99;890
2024-01-05;4;75.65
2024-01-05;5;75.65
2024-01-05;7;75.65
2024-01-05;8;75.65
2024-01-05;10;75.65
2024-01-05;11;75.65
2024-01-05;12;89
2024-01-06;13;89
2024-01-06;17;75.65
2024-01-06;100;89
2024-01-06;24;75.65
2024-01-06;101;890
2024-01-06;29;80.1
2024-01-06;31;89
2024-01-06;32;89
2024-01-06;102;890
2024-01-06;34;71.2
2024-01-06;36;89
2024-01-06;37;89
